measurement_key,float_key,measurement_time,lat,lon,pressure,temperature,salinity
1,1,2006-10-22 02:16:24.000628,-40.316,73.389,6.0,12.518,35.131
2,1,2006-10-22 02:16:24.000628,-40.316,73.389,10.0,12.519,35.131
3,1,2006-10-22 02:16:24.000628,-40.316,73.389,19.6,12.518,35.131
4,1,2006-10-22 02:16:24.000628,-40.316,73.389,29.8,12.519,35.131
5,1,2006-10-22 02:16:24.000628,-40.316,73.389,39.9,12.523,35.132
6,1,2006-10-22 02:16:24.000628,-40.316,73.389,50.2,12.525,35.132
7,1,2006-10-22 02:16:24.000628,-40.316,73.389,60.2,12.445,35.127
8,1,2006-10-22 02:16:24.000628,-40.316,73.389,69.9,12.41,35.128
9,1,2006-10-22 02:16:24.000628,-40.316,73.389,79.3,12.374,35.127
10,1,2006-10-22 02:16:24.000628,-40.316,73.389,90.1,12.326,35.123
11,1,2006-10-22 02:16:24.000628,-40.316,73.389,99.9,12.292,35.123
12,1,2006-10-22 02:16:24.000628,-40.316,73.389,110.2,12.234,35.118
13,1,2006-10-22 02:16:24.000628,-40.316,73.389,120.3,12.224,34.904
14,1,2006-10-22 02:16:24.000628,-40.316,73.389,130.2,12.219,35.115
15,1,2006-10-22 02:16:24.000628,-40.316,73.389,140.2,12.219,35.116
16,1,2006-10-22 02:16:24.000628,-40.316,73.389,150.0,12.211,35.113
17,1,2006-10-22 02:16:24.000628,-40.316,73.389,160.1,12.206,35.113
18,1,2006-10-22 02:16:24.000628,-40.316,73.389,169.9,12.206,35.113
19,1,2006-10-22 02:16:24.000628,-40.316,73.389,179.7,12.203,35.111
20,1,2006-10-22 02:16:24.000628,-40.316,73.389,190.5,12.2,35.111
21,1,2006-10-22 02:16:24.000628,-40.316,73.389,199.9,12.183,35.107
22,1,2006-10-22 02:16:24.000628,-40.316,73.389,210.1,12.173,35.104
23,1,2006-10-22 02:16:24.000628,-40.316,73.389,220.4,12.125,35.096
24,1,2006-10-22 02:16:24.000628,-40.316,73.389,230.1,12.097,35.09
25,1,2006-10-22 02:16:24.000628,-40.316,73.389,240.4,12.07,35.085
26,1,2006-10-22 02:16:24.000628,-40.316,73.389,250.3,12.004,35.073
27,1,2006-10-22 02:16:24.000628,-40.316,73.389,259.8,12.034,35.081
28,1,2006-10-22 02:16:24.000628,-40.316,73.389,270.2,11.96,35.066
29,1,2006-10-22 02:16:24.000628,-40.316,73.389,279.5,11.939,35.062
30,1,2006-10-22 02:16:24.000628,-40.316,73.389,290.1,11.925,35.058
31,1,2006-10-22 02:16:24.000628,-40.316,73.389,300.3,11.895,35.053
32,1,2006-10-22 02:16:24.000628,-40.316,73.389,310.0,11.915,35.059
33,1,2006-10-22 02:16:24.000628,-40.316,73.389,319.9,11.896,35.056
34,1,2006-10-22 02:16:24.000628,-40.316,73.389,330.4,11.887,35.056
35,1,2006-10-22 02:16:24.000628,-40.316,73.389,339.8,11.894,35.057
36,1,2006-10-22 02:16:24.000628,-40.316,73.389,350.0,11.812,35.038
37,1,2006-10-22 02:16:24.000628,-40.316,73.389,360.3,11.759,35.029
38,1,2006-10-22 02:16:24.000628,-40.316,73.389,379.9,11.699,35.02
39,1,2006-10-22 02:16:24.000628,-40.316,73.389,399.8,11.555,34.997
40,1,2006-10-22 02:16:24.000628,-40.316,73.389,450.3,11.18,34.933
41,1,2006-10-22 02:16:24.000628,-40.316,73.389,500.2,10.895,34.891
42,1,2006-10-22 02:16:24.000628,-40.316,73.389,549.7,10.296,34.81
43,1,2006-10-22 02:16:24.000628,-40.316,73.389,600.0,9.699,34.739
44,1,2006-10-22 02:16:24.000628,-40.316,73.389,650.0,9.193,34.679
45,1,2006-10-22 02:16:24.000628,-40.316,73.389,700.4,8.67,34.626
46,1,2006-10-22 02:16:24.000628,-40.316,73.389,750.4,8.065,34.573
47,1,2006-10-22 02:16:24.000628,-40.316,73.389,800.3,7.596,34.534
48,1,2006-10-22 02:16:24.000628,-40.316,73.389,850.4,6.969,34.48
49,1,2006-10-22 02:16:24.000628,-40.316,73.389,899.8,5.991,34.386
50,1,2006-10-22 02:16:24.000628,-40.316,73.389,947.9,5.392,34.348
51,1,2006-10-22 02:16:24.000628,-40.316,73.389,1000.1,5.103,34.352
52,1,2006-10-22 02:16:24.000628,-40.316,73.389,1050.3,4.643,34.337
53,1,2006-10-22 02:16:24.000628,-40.316,73.389,1100.0,4.338,34.341
54,1,2006-10-22 02:16:24.000628,-40.316,73.389,1150.0,4.118,34.34
55,1,2006-10-22 02:16:24.000628,-40.316,73.389,1199.9,3.926,34.357
56,1,2006-10-22 02:16:24.000628,-40.316,73.389,1250.1,3.763,34.375
57,1,2006-10-22 02:16:24.000628,-40.316,73.389,1298.1,3.562,34.399
58,1,2006-10-22 02:16:24.000628,-40.316,73.389,1350.2,3.432,34.423
59,1,2006-10-22 02:16:24.000628,-40.316,73.389,1400.2,3.325,34.443
